id;content;created_at;update_at
1;Solutions Wooden;2022-09-27T15:28:04;2022-09-28T00:47:00
2;Savings International;2022-09-28T13:00:28;2022-09-27T15:31:20
3;Quality-focused index FTP;2022-09-27T18:09:13;2022-09-28T10:32:32
4;Fish Computer;2022-09-28T05:54:01;2022-09-27T23:16:38
5;bricks-and-clicks;2022-09-27T14:45:48;2022-09-28T00:12:56
6;sensor;2022-09-27T15:12:39;2022-09-28T10:53:34
7;Implementation Nakfa;2022-09-27T14:47:11;2022-09-28T12:31:43
8;cultivate Industrial convergence;2022-09-27T18:16:04;2022-09-28T01:45:48
9;Infrastructure Avon;2022-09-27T15:16:38;2022-09-28T04:05:37
10;Nebraska Ergonomic;2022-09-27T18:05:19;2022-09-28T05:39:49
